Date,BCOMTR Index,LF98TRUU Index,LUACTRUU Index,LUATTRUU Index,SPXT Index
1/4/1995,111.22,,676.2,672.64,577.69
1/5/1995,112.088,,673.84,670.83,577.3
1/6/1995,111.908,,674.99,671.71,577.72
1/9/1995,111.494,,674.24,671.17,577.98
1/10/1995,111.511,,676.06,672.64,579.05
1/11/1995,111.772,,677.62,673.85,579.03
1/12/1995,112.117,,676.81,673.25,579
1/13/1995,111.225,,681.59,677.21,584.54
1/16/1995,,,,,588.82
1/17/1995,113.396,,682.13,677.48,589.68
1/18/1995,113.941,,682,677.21,589.27
1/19/1995,113.889,,680.79,676.47,585.8
1/20/1995,114.19,,677.95,674.59,583.08
1/23/1995,113.28,,678.36,674.99,584.41
1/24/1995,113.671,,677.55,674.46,584.52
1/25/1995,113.036,,680.38,676.8,586.59
1/26/1995,113.133,,682.07,678.28,587.72
1/27/1995,112.265,,686.99,682.11,590.32
1/30/1995,112.068,,686.92,682.31,588.08
1/31/1995,112.109,,688.54,683.6,590.64
2/1/1995,111.859,,687.31,682.29,590.65
2/2/1995,112.566,,686.41,681.34,593.73
2/3/1995,112.581,,694.26,687.76,601.13
2/6/1995,112.326,,692.89,686.8,604.56
2/7/1995,111.166,,693.02,686.87,604.21
2/8/1995,110.537,,692.82,687.01,604.74
2/9/1995,111.347,,691.03,685.44,603.62
2/10/1995,111.99,,689.58,684.34,605.33
2/13/1995,111.323,,690.41,684.96,605.71
2/14/1995,111.775,,693.85,687.76,606.96
2/15/1995,111.627,,697.71,689.61,609.52
2/16/1995,111.988,,699.15,690.97,610.38
2/17/1995,112.491,,698.4,690.36,606.41
2/21/1995,112.642,,698.26,690.22,607.41
2/22/1995,112.705,,702.67,694.05,610.42
2/23/1995,112.483,,702.18,693.71,612.87
2/24/1995,112.719,,703.08,694.39,614.4
2/27/1995,112.384,,706.38,697.12,609.12
2/28/1995,111.963,368.94,708.39,698.19,613.65
3/1/1995,111.757,,708.46,697.9,611.64
3/2/1995,111.731,,706.19,695.94,611.01
3/3/1995,112.367,,704.28,694.55,611.5
3/6/1995,112.625,,703.15,693.5,611.87
3/7/1995,113.207,,701.94,692.45,607.48
3/8/1995,112.552,,704.56,694.9,608.77
3/9/1995,112.445,,707.4,697.13,609.11
3/10/1995,112.264,,709.67,698.81,617.2
3/13/1995,113.026,,711.44,700.41,617.85
3/14/1995,112.572,,715.83,703.69,621.45
3/15/1995,112.982,,716.18,703.62,620.21
3/16/1995,112.895,,717.11,704.46,624.71
3/17/1995,112.998,,715.41,703.2,624.85
3/20/1995,113.229,,714.98,702.93,625.65
3/21/1995,112.9,,713.63,701.81,624.3
3/22/1995,114.546,,712.64,701.11,625.06
3/23/1995,114.253,,712.29,700.97,625.41
3/24/1995,113.623,,716.89,704.53,631.74
3/27/1995,114.053,,719.23,706.35,634.83
3/28/1995,113.95,,715.41,703.34,635.72
3/29/1995,113.724,,716.18,704.04,634.74
3/30/1995,114.464,,714.91,702.99,633.65
3/31/1995,114.736,372.91,714.17,702.58,631.76
4/3/1995,115.162,,717.46,704.88,633.32
4/4/1995,115.707,,718.24,705.59,637.77
4/5/1995,116.431,,718.39,705.8,638.31
4/6/1995,116.659,,719.81,707.06,638.95
4/7/1995,116.68,,719.1,706.5,639.44
4/10/1995,116.337,,719.31,706.71,640.21
4/11/1995,116.901,,720.46,707.55,638.34
4/12/1995,116.391,,721.39,708.26,640.46
4/13/1995,115.286,,724.03,710.36,643.07
4/17/1995,116.634,,723.31,710.01,639.22
4/18/1995,117.166,,723.81,710.71,638.28
4/19/1995,116.847,,724.1,710.79,637.73
4/20/1995,116.964,,725.46,711.91,638.19
4/21/1995,117.412,,725.96,712.33,642.24
4/24/1995,117.255,,726.74,713.03,647.93
4/25/1995,117.04,,726.53,712.68,647.01
4/26/1995,116.208,,726.6,712.75,647.77
4/27/1995,117.128,,725.67,711.84,648.89
4/28/1995,117.028,382.4,726.22,711.77,650.36
5/1/1995,117.708,,725.87,711.26,649.95
5/2/1995,117.002,,727.54,712.75,650.81
5/3/1995,116.741,,731.39,715.89,657.94
5/4/1995,116.922,,736.18,719.44,658.22
5/5/1995,116.384,,743.66,725.35,657.74
5/8/1995,116.039,,743.44,725.28,662.82
5/9/1995,114.769,,747.58,728.27,662.58
5/10/1995,115.046,,745.62,726.92,663.65
5/11/1995,114.51,,744.39,725.85,663.76
5/12/1995,114.865,,744.1,725.78,665.27
5/15/1995,115.641,,746.93,727.84,668.23
5/16/1995,116.271,,750.13,730.33,668.89
5/17/1995,116.054,,750.85,730.76,667.48
5/18/1995,116.883,,748.24,728.77,658.04
5/19/1995,116.922,,748.53,728.91,657.85
5/22/1995,117.515,,748.31,728.69,663.57
5/23/1995,118.262,,750.93,730.9,669.85
5/24/1995,117.979,,756.74,735.46,669.95
5/25/1995,117.677,,758.33,736.52,670.1
5/26/1995,117.153,,758.33,736.45,663.95
5/30/1995,115.958,,762.76,739.72,663.89
5/31/1995,116.228,393.12,760.45,740.55,676.36
6/1/1995,117.219,,764.94,744.02,676.53
6/2/1995,117.173,,769.51,747.79,675.4
6/5/1995,117.491,,770.57,748.61,679.32
6/6/1995,117.002,,770.42,748.31,679.36
6/7/1995,117.069,,767.15,745.42,676.29
6/8/1995,117.006,,765.4,743.79,675.39
6/9/1995,117.049,,757.95,738.02,669.8
6/12/1995,116.745,,758.93,739.06,673.56
6/13/1995,116.691,,769.05,747.2,680.41
6/14/1995,117.383,,768.9,747.05,680.99
6/15/1995,117.741,,766.16,745.5,681.82
6/16/1995,117.076,,765.32,744.9,685.26
6/19/1995,117.222,,769.36,748.09,692.14
6/20/1995,117.305,,768.14,747.2,691.85
6/21/1995,116.809,,769.36,748.16,690.59
6/22/1995,117.059,,773.92,751.79,699.63
6/23/1995,116.936,,772.4,750.53,697.92
6/26/1995,116.048,,770.72,749.13,690.84
6/27/1995,115.882,,769.36,748.09,688.68
6/28/1995,116.408,,771.71,749.94,691.89
6/29/1995,115.91,,764.56,744.02,690.8
6/30/1995,115.079,395.62,767.3,746.39,692.07
7/3/1995,115.143,,767.92,746.6,695.08
7/5/1995,114.668,,769.22,747.72,695.41
7/6/1995,115.259,,776.28,753.54,704.14
7/7/1995,114.9,,776.13,753.69,707.28
7/10/1995,115.696,,776.9,754.21,708.33
7/11/1995,115.878,,773.83,751.82,705.28
7/12/1995,116.628,,774.82,752.64,713.1
7/13/1995,115.839,,774.9,752.57,713.26
7/14/1995,116.662,,773.21,750.55,711.85
7/17/1995,117.437,,769.99,748.09,715.45
7/18/1995,117.507,,767.69,746.45,710.1
7/19/1995,116.179,,760.86,741.45,700.66
7/20/1995,115.687,,761.39,741.75,703.93
7/21/1995,116.378,,757.48,738.69,704.04
7/24/1995,116.374,,760.55,741.08,707.87
7/25/1995,116.538,,762.39,742.49,713.56
7/26/1995,117.779,,760.24,740.93,714.25
7/27/1995,117.408,,762.93,743.09,718.95
7/28/1995,117.35,,760.55,741.3,716.07
7/31/1995,117.314,400.62,763.91,743.62,715.02
